filename,width,height,class,xmin,ymin,xmax,ymax
wb_framesa00001--44-_jpeg.rf.eac22a9da7a06c6c28303d954bd899da.jpg,416,416,Pig,171,200,187,223
wb_framesa00001--44-_jpeg.rf.eac22a9da7a06c6c28303d954bd899da.jpg,416,416,Pig,133,205,157,251
wb_framesa00001--44-_jpeg.rf.eac22a9da7a06c6c28303d954bd899da.jpg,416,416,Pig,183,222,200,260
wb_framesa00001--44-_jpeg.rf.eac22a9da7a06c6c28303d954bd899da.jpg,416,416,Pig,238,222,261,260
wb_framesa00001--44-_jpeg.rf.eac22a9da7a06c6c28303d954bd899da.jpg,416,416,Pig,266,221,289,266
wb_framesa00001--44-_jpeg.rf.eac22a9da7a06c6c28303d954bd899da.jpg,416,416,Pig,112,226,145,287
S46NGCJO47LF_jpg.rf.ead2f799818086c0c14040eb3f7099e7.jpg,416,416,Pig,25,48,257,295
Wild_Boar_0505_jpg.rf.eaf6a5930057f3def180f068b2c2380d.jpg,416,416,Pig,104,33,415,363
Wild_Boar_0714_jpg.rf.eb2777d3892ad2d72d30938d641a1ee4.jpg,416,416,Pig,72,48,415,365
5YLKKI6XEK00_jpg.rf.eb2fcb89b619e2de990a549786b73a5f.jpg,416,416,Pig,8,0,415,415
ZJCJTPNO8VFH_jpg.rf.eb322402c02ae4e27e65c0128f985410.jpg,416,416,Pig,309,63,415,377
ZJCJTPNO8VFH_jpg.rf.eb322402c02ae4e27e65c0128f985410.jpg,416,416,Pig,145,69,382,376
ZJCJTPNO8VFH_jpg.rf.eb322402c02ae4e27e65c0128f985410.jpg,416,416,Pig,0,144,177,345
FA3TH7CR53SW_jpg.rf.eb35045ec69845ae12bbbca4804d4898.jpg,416,416,Pig,0,8,415,415
7PGT58PFXG45_jpg.rf.eb62fd58881902bed4485ad7696696d0.jpg,416,416,Pig,22,152,187,352
7PGT58PFXG45_jpg.rf.eb62fd58881902bed4485ad7696696d0.jpg,416,416,Pig,163,162,415,384
644c814f6cef846a_jpg.rf.eb7699ed6370aa9aaf41d49a0e4f0716.jpg,416,416,Pig,199,153,325,292
644c814f6cef846a_jpg.rf.eb7699ed6370aa9aaf41d49a0e4f0716.jpg,416,416,Pig,140,255,203,357
849e5facc51fbeac_jpg.rf.eb86fec3cdbc1fa4375f3f761431f76c.jpg,416,416,Pig,20,24,401,341
80a67699dc0e5f9a_jpg.rf.eb92722deaa3b84e0b251de0276fc2c3.jpg,416,416,Pig,68,95,233,285
AVSRBFYIO552_jpg.rf.ebd222b9352118897acbc0bb96325f80.jpg,416,416,Pig,1,148,385,354
OZK3594QSATX_jpg.rf.ec5c2684bd2e0fac5cfae19b8199e475.jpg,416,416,Pig,109,73,409,343
